event,node,start,end
form start,,1623751903515,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623751903518,1623751963378
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623751963387,1623751965782
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623751965787,1623751972250
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623751972259,1623751976371
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623751976379,1623751988637
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623751988646,1623751991061
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623751991070,1623751994625
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623751994637,1623751997525
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623751997530,1623752001233
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752001240,1623752007087
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752007094,1623752009266
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623752009271,1623752014336
form save,,1623752014952,
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623752014954,1623752016300
jump,,1623752016300,1623752101847
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623752043700,1623752101847
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623752101879,1623752127685
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623752127692,1623752187780
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623752187825,1623752196175
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623752196181,1623752199737
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623752199743,1623752202288
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623752202293,1623752205414
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623752205420,1623752207912
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623752207918,1623752210290
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623752210296,1623752249976
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623752250010,1623752289455
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623752289479,1623752345489
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623752345520,1623752352610
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623752352617,1623752354356
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623752354362,1623752357766
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623752357774,1623752376910
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623752376916,1623752386099
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623752386107,1623752402703
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623752402707,1623752405970
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623752405978,1623752409519
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623752409526,1623752419790
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623752419795,1623752435692
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623752435698,1623752438475
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623752438482,1623752440658
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623752440663,1623752443135
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_washing,1623752443140,1623752451463
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623752451469,1623752453706
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623752453714,1623752472575
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623752472581,1623752475684
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623752475690,1623752478917
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623752478925,1623752482960
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623752482968,1623752486956
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623752486964,1623752493805
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623752493810,1623752497683
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623752497690,1623752499168
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623752499174,1623752508116
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623752508123,1623752513235
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623752513240,1623752609493
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623752609498,1623752616677
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623752616684,1623752619365
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623752619372,1623752625271
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623752625278,1623752629342
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623752629350,1623752633452
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623752633458,1623752646603
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623752646619,1623752655734
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623752655741,1623752662494
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623752662500,1623752666391
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623752666398,1623752667893
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623752667901,1623752672520
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623752672527,1623752689692
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623752689704,1623752692505
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623752692512,1623752695191
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623752695197,1623752720656
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623752720664,1623752722087
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623752722095,1623752727156
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623752727164,1623752736158
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623752736165,1623752744652
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623752744658,1623752755100
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623752755106,1623752758439
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623752758445,1623752762860
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623752762866,1623752768159
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/non_enrollment_reasons,1623752768168,1623752784286
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/non_enrollment_reasons_other,1623752784292,1623752799943
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623752799950,1623752806569
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623752806576,1623752809782
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623752809788,1623752811845
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623752811853,1623752817910
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623752817916,1623752821857
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623752821863,1623752844968
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623752844976,1623752852814
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623752852820,1623752857428
