event,node,start,end
form start,,1623779617391,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623779617394,1623779624885
form save,,1623779625018,
form exit,,1623779625018,
form resume,,1623780838959,
jump,,1623780838960,1623781124461
end screen,,1623781124487,1623781130079
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623781130083,1623781134163
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623781134172,1623781140884
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623781140903,1623781143386
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623781143405,1623781144584
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623781144602,1623781145529
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623781145537,1623781149416
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623781149432,1623781152217
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623781152233,1623781161342
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623781161361,1623783816152
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623783816167,1623783819221
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623783819229,1623783825936
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623783825952,1623783829476
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623783829490,1623783835495
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623783835509,1623783841051
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623783841069,1623783845720
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623783845730,1623783849273
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623783849289,1623783853456
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623783853467,1623783855844
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623783855862,1623783860045
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623783860062,1623783862965
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623783862981,1623783866576
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623783866593,1623783869222
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623783869240,1623783880086
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623783880133,1623783882498
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623783882512,1623783886649
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623783886666,1623783891215
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623783891231,1623783917423
form save,,1623783917603,
form exit,,1623783917603,
