event,node,start,end
form start,,1623752878519,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623752878522,1623752885353
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623752885383,1623752887102
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623752887115,1623752891072
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623752891093,1623752893576
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623752893601,1623752911848
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623752911870,1623752913407
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623752913418,1623752924770
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623752924787,1623752927536
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623752927551,1623752929648
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623752929660,1623752931442
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752931455,1623752934279
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752934302,1623752935778
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623752935793,1623752938756
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623752938780,1623753099347
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623753099365,1623753177375
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623753177418,1623753178589
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623753178609,1623753182164
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623753182179,1623753183768
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623753183784,1623753184468
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623753184482,1623753185536
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623753185559,1623753185960
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623753185971,1623753192825
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623753192844,1623753243629
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623753243688,1623753271648
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623753271698,1623753312394
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623753312458,1623753313513
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623753313533,1623753324123
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623753324140,1623753334285
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623753334300,1623753354379
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623753354408,1623753355768
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623753355789,1623753357250
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623753357258,1623753360004
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623753360017,1623753361131
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623753361147,1623753362688
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623753362700,1623753363860
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623753363874,1623753364949
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623753364963,1623753365857
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623753365882,1623753367541
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623753367551,1623753368751
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623753368767,1623753369946
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623753369958,1623753372555
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_hh_sharing_sanitation,1623753372566,1623753373746
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623753373766,1623753375214
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623753375233,1623753377090
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623753377102,1623753393035
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623753393052,1623753394806
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623753394823,1623753401026
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623753401071,1623753404337
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623753404358,1623753406058
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623753406072,1623753408881
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623753408901,1623753409762
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623753409779,1623753411232
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623753411251,1623753416521
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623753416565,1623753418225
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623753418236,1623753420597
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623753420617,1623753422410
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623753422424,1623753425116
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623753425128,1623753425942
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623753425963,1623753433619
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623753433653,1623753444679
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623753444696,1623753448347
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/drop_out_reason,1623753448361,1623753451000
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623753451016,1623753453722
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623753453743,1623753456013
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623753456032,1623753457590
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623753457609,1623753458676
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623753458690,1623753463385
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623753463396,1623753464223
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623753464244,1623753468051
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623753468070,1623753469549
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623753469565,1623753472351
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623753472369,1623753474294
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623753474307,1623753475810
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623753475822,1623753489815
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623753489837,1623753516410
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623753516448,1623753519871
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623753519895,1623753521349
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623753521370,1623753525874
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623753525885,1623753530697
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623753530711,1623753540747
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623753540784,1623753645092
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623753645106,1623753649713
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623753649765,1623753652788
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623753652800,1623753654928
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623753654940,1623753655796
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623753655814,1623753657077
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623753657095,1623753665690
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623753665700,1623753667238
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623753667249,1623753668547
question,/ahLxPkShSJwCFf2hsNoEbs/protection/demolition_order,1623753668562,1623753671171
question,/ahLxPkShSJwCFf2hsNoEbs/protection/encounter_explosives,1623753671185,1623753672503
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623753672516,1623753673302
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623753673317,1623753674509
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623753674524,1623753675580
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623753675600,1623753676743
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623753676757,1623753824661
question,/ahLxPkShSJwCFf2hsNoEbs/gpslocation,1623753824678,1623753829470
end screen,,1623753829489,1623753830366
form save,,1623753830772,
form exit,,1623753830772,
form finalize,,1623753830772,
