event,node,start,end
form start,,1623754419713,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623754419716,1623754431669
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623754431676,1623754437096
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623754437101,1623754442656
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623754442663,1623754445250
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623754445257,1623754462785
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623754462792,1623754465383
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623754465390,1623754468120
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623754468127,1623754470983
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623754470987,1623754472842
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623754472850,1623754475959
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623754475969,1623754479676
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623754479682,1623754486955
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623754486963,1623754490237
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623754490242,1623754491573
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623754491633,1623754492895
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623754492900,1623754526570
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623754526601,1623754542104
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623754542111,1623754544984
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623754544990,1623754548544
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623754548551,1623754550244
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623754550254,1623754550962
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623754550969,1623754552201
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623754552208,1623754554360
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623754554366,1623754561628
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623754561635,1623754563006
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623754563013,1623754570374
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623754570380,1623754572810
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623754572817,1623754576468
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623754576474,1623754593200
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623754593227,1623754623954
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623754623976,1623754708372
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623754708422,1623754722899
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623754722905,1623754724077
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623754724082,1623754738899
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623754738907,1623754744038
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623754744045,1623754748517
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623754748524,1623754888036
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623754888042,1623754889874
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623754889879,1623754900385
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623754900392,1623754938675
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623754938681,1623754940909
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623754940916,1623754946024
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623754946030,1623754951979
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623754951986,1623754957030
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623754957036,1623754960087
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623754960097,1623754961381
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623754961387,1623754965438
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623754965445,1623754968933
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623754968941,1623754972648
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623754972654,1623754976084
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623754976090,1623754978081
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623754978087,1623754985190
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623754985199,1623754991656
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623754991662,1623755002570
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623755002577,1623755013029
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623755013046,1623755016791
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623755016797,1623755024196
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623755024213,1623755032318
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623755032325,1623755035639
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623755035646,1623755044020
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623755044026,1623755048137
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623755048145,1623755049535
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623755049540,1623755054646
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623755054654,1623755670192
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623755670207,1623755675963
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623755675970,1623755679889
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623755679895,1623755700057
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623755700069,1623755701509
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623755701515,1623755712416
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623755712430,1623755715794
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623755715802,1623755727443
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623755727449,1623755729099
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623755729105,1623755732596
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623755732605,1623755814405
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623755814411,1623755826077
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623755826085,1623755871565
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623755871573,1623755878048
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623755878058,1623755879484
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623755879491,1623755881644
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623755881649,1623755885379
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623755885386,1623755888936
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623755888942,1623755905060
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623755905065,1623755920368
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623755920374,1623755925447
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623755925468,1623755948217
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623755948233,1623755949435
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623755949441,1623755959893
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623755959900,1623755962422
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623755962428,1623755963941
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623755963946,1623755967753
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623755967760,1623755972799
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623755972807,1623755987704
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623755987710,1623755994189
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623755994198,1623755995403
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623755995411,1623756003626
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623756003633,1623756005505
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623756005510,1623756006627
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623756006632,1623756007663
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623756007669,1623756008681
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623756008687,1623756019461
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623756019467,1623756020219
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623756020236,1623756021119
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623756021125,1623756022020
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623756022025,1623756023136
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623756023143,1623756037489
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623756037497,1623756038627
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623756038631,1623756039470
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623756039475,1623756040526
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623756040533,1623756041647
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623756041652,1623756057000
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623756057006,1623756064875
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623756064880,1623756066274
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623756066281,1623756067455
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623756067461,1623756068591
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623756068597,1623756080581
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623756080588,1623756085251
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623756085258,1623756120341
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623756120347,1623756128752
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623756128757,1623756151529
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623756151535,1623756154786
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623756154793,1623756164325
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623756164332,1623756205388
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623756205405,1623756222711
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623756222718,1623756227485
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623756227490,1623756231985
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623756231991,1623756245985
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623756245999,1623756257604
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623756257609,1623756272723
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623756272743,1623756278531
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623756278537,1623756283049
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623756283054,1623756284627
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623756284633,1623756288210
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623756288226,1623756295237
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623756295245,1623756302065
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623756302073,1623756315818
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623756315826,1623756319290
question,/ahLxPkShSJwCFf2hsNoEbs/protection/level_of_building_damage,1623756319296,1623756322920
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623756322926,1623756326296
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623756326302,1623756329546
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623756329553,1623756337757
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_type,1623756337762,1623756352856
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_satisfaction,1623756352864,1623756358630
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_not_satisfied,1623756358637,1623756361464
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_workers_satisfied,1623756361469,1623756364702
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/barriers_to_aid,1623756364708,1623756375511
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623756375522,1623756427206
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/complaint_mechanisms,1623756427212,1623756608398
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623756608407,1623756611610
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623756611615,1623756622175
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey_participant,1623756622180,1623756626695
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/second_participant/consent2,1623756626702,1623756731854
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey_participant,1623756731860,1623756734003
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623756734008,1623756736751
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623756736757,1623756737901
end screen,,1623756737907,1623756739569
form save,,1623756740657,
form exit,,1623756740657,
form finalize,,1623756740657,
