event,node,start,end
form start,,1623751132807,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623751132810,1623751617600
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623751617610,1623751621641
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623751621646,1623751698523
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623751698529,1623751700597
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623751700603,1623751701873
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623751701878,1623751703499
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623751703504,1623752013759
form resume,,1623752070741,
jump,,1623752070742,1623752074183
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623752072561,1623752074183
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623752074192,1623752075831
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623752075835,1623752077198
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623752077207,1623752085160
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623752085169,1623752107837
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623752107842,1623752149090
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623752149100,1623752151435
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623752151441,1623752153391
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623752153399,1623752155368
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752155375,1623752159178
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752159184,1623752161233
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623752161239,1623752165604
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623752165611,1623752167444
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623752167451,1623752221672
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623752221703,1623752312436
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623752312442,1623752438782
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623752438816,1623752440209
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623752440214,1623752442808
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752442814,1623752444181
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752444187,1623752447776
