event,node,start,end
form start,,1623736532582,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623736532584,1623736536966
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623736536981,1623736539097
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623736539113,1623736543939
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623736543952,1623736546892
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623736546910,1623736554027
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623736554040,1623736567119
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623736567135,1623736568689
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623736568705,1623736572860
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623736572876,1623736575011
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623736575023,1623736579945
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623736579965,1623736582826
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623736582837,1623736584863
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623736584877,1623736617355
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623736617369,1623736618354
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623736618369,1623736619440
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623736619450,1623736620344
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623736620360,1623736624074
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623736624088,1623736626481
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623736626497,1623736629019
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623736629031,1623736630157
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623736630173,1623736633830
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623736633843,1623736641857
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623736641875,1623736645399
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623736645417,1623736647936
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623736647947,1623736658925
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623736658970,1623736660037
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623736660050,1623736662480
