Column1,id_sampl,Survey,strata_id,psu,nr_hhs,locality_code,gov_code,gov_name,gov_area,enum_area,oslo_area,Oslo_Area2,Strata,locality.name,West.Bank.or.Gaza.Strip,psu_id,pop_numbers,SumDist,proba,survey_buffer,Column2
6,id_1108,8,Area_AB,4.97252789311535e-314,103,100645,10,Tulkarem,Tulkarem_B,85,2,_B,Area_AB,?????????,West Bank,4.97252789311535e-314,103,465190,0.000221415,8,7.766990291
8,id_1137,8,Area_AB,4.9725289795657e-314,61,100645,10,Tulkarem,Tulkarem_A,107,1,_A,Area_AB,?????????,West Bank,4.9725289795657e-314,61,465190,0.000131129,8,13.1147541
16,id_1316,8,Area_AB,7.45149871385115e-314,150,150820,15,Nablus,Nablus_B,13,2,_B,Area_AB,??????? ??????????,West Bank,7.45149871385115e-314,150,465190,0.000322449,8,5.333333333
17,id_1317,8,Area_AB,7.45149876325772e-314,135,150820,15,Nablus,Nablus_B,14,2,_B,Area_AB,??????? ??????????,West Bank,7.45149876325772e-314,135,465190,0.000290204,8,5.925925926
20,id_1419,8,Area_AB,7.45644134607808e-314,128,150920,15,Nablus,Nablus_A,53,1,_A,Area_AB,???????,West Bank,7.45644134607808e-314,128,465190,0.000275156,8,6.25
21,id_1424,8,Area_AB,7.4564415931109e-314,137,150920,15,Nablus,Nablus_A,58,1,_A,Area_AB,???????,West Bank,7.4564415931109e-314,137,465190,0.000294503,8,5.839416058
26,id_1534,8,Area_AB,7.4564464843608e-314,106,150920,15,Nablus,Nablus_A,157,1,_A,Area_AB,???????,West Bank,7.4564464843608e-314,106,465190,0.000227864,8,7.547169811
29,id_1561,8,Area_AB,7.45644781833804e-314,132,150920,15,Nablus,Nablus_A,184,1,_A,Area_AB,???????,West Bank,7.45644781833804e-314,132,465190,0.000283755,8,6.060606061
30,id_1591,8,Area_AB,7.45644920172185e-314,151,150920,15,Nablus,Nablus_A,212,1,_A,Area_AB,???????,West Bank,7.45644920172185e-314,151,465190,0.000324599,8,5.298013245
46,id_1972,8,Area_AB,7.47941287936897e-314,99,151385,15,Nablus,Nablus_B,2,2,_B,Area_AB,???????? ???? ?????,West Bank,7.47941287936897e-314,99,465190,0.000212816,8,8.080808081
47,id_2019,8,Area_AB,9.92800226956475e-314,67,200945,20,Qalqilya,Qalqilya_B,3,2,_B,Area_AB,?????,West Bank,9.92800226956475e-314,67,465190,0.000144027,8,11.94029851
52,id_2092,8,Area_AB,9.93269752312281e-314,126,201040,20,Qalqilya,Qalqilya_A,36,1,_A,Area_AB,????????????,West Bank,9.93269752312281e-314,126,465190,0.000270857,8,6.349206349
59,id_2174,8,Area_AB,9.93491918860653e-314,130,201085,20,Qalqilya,Qalqilya_B,3,2,_B,Area_AB,???????????,West Bank,9.93491918860653e-314,130,465190,0.000279456,8,6.153846154
106,id_314,8,Area_AB,5.0320645366215e-315,128,10185,1,Jenin,Jenin_A,12,1,_A,Area_AB,???????? ?????,West Bank,5.0320645366215e-315,128,465190,0.000275156,8,6.25
135,id_3587,8,Area_AB,1.98589688332033e-313,103,401950,40,Jerusalem(j2),Jerusalem(j2)_B,4,2,_B,Area_AB,???? ??????,West Bank,1.98589688332033e-313,103,465190,0.000221415,8,7.766990291
146,id_3765,8,Area_AB,1.98634166097734e-313,105,402040,40,Jerusalem(j2),Jerusalem(j2)_B,28,2,_B,Area_AB,???????,West Bank,1.98634166097734e-313,105,465190,0.000225714,8,7.619047619
149,id_379,8,Area_AB,5.07158831103252e-315,90,10265,1,Jenin,Jenin_B,9,2,_B,Area_AB,????????,West Bank,5.07158831103252e-315,90,465190,0.000193469,8,8.888888889
159,id_3946,8,Area_AB,2.23406610658355e-313,127,452180,45,Bethlehem,Bethlehem_A,14,1,_A,Area_AB,??????????????,West Bank,2.23406610658355e-313,127,465190,0.000273007,8,6.299212598
