"difficulty_sex","difficulty_age","difficulty_seeing","difficulty_hearing","difficulty_walking","difficulty_remembering","difficulty_washing","difficulty_communicating","cwd_calc","female_disability_calc","male_disability_calc","_index","_parent_table_name","_parent_index","_submission__id","_submission__uuid","_submission__submission_time","_submission__validation_status","_submission__notes","_submission__status","_submission__submitted_by","_submission__tags","uuid","X_submission__uuid","deleted"
"female","81","no_difficulty","no_difficulty","a_lot_of_difficulty",NA,NA,NA,"0","1","0",1,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",3,185874145,"8e2089a4-fa1c-4082-83fc-27902bfc8871","2021-06-16T20:39:18",NA,"[]","submitted_via_web","pcbs_msna","[]","8e2089a4-fa1c-4082-83fc-27902bfc8871","8e2089a4-fa1c-4082-83fc-27902bfc8871",NA
"female","69",NA,NA,"a_lot_of_difficulty",NA,NA,NA,"0","1","0",2,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",5,185874160,"68919518-9760-432d-a09d-e9fce1427c95","2021-06-16T20:39:23",NA,"[]","submitted_via_web","pcbs_msna","[]","68919518-9760-432d-a09d-e9fce1427c95","68919518-9760-432d-a09d-e9fce1427c95",NA
"female","9",NA,NA,NA,NA,"a_lot_of_difficulty",NA,"0","0","0",3,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",11,186038372,"b35de245-9c17-417c-9966-66eef9f7a027","2021-06-17T11:45:03",NA,"[]","submitted_via_web","pcbs_msna","[]","b35de245-9c17-417c-9966-66eef9f7a027","b35de245-9c17-417c-9966-66eef9f7a027",NA
"male","63","no_difficulty","a_lot_of_difficulty",NA,NA,NA,NA,"0","0","1",4,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",12,186038386,"83743ff9-e174-4e7f-bae2-2f0457e224df","2021-06-17T11:45:06",NA,"[]","submitted_via_web","pcbs_msna","[]","83743ff9-e174-4e7f-bae2-2f0457e224df","83743ff9-e174-4e7f-bae2-2f0457e224df",NA
"male","29","a_lot_of_difficulty","no_difficulty",NA,NA,NA,NA,"0","0","1",5,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",12,186038386,"83743ff9-e174-4e7f-bae2-2f0457e224df","2021-06-17T11:45:06",NA,"[]","submitted_via_web","pcbs_msna","[]","83743ff9-e174-4e7f-bae2-2f0457e224df","83743ff9-e174-4e7f-bae2-2f0457e224df",NA
"male","39","a_lot_of_difficulty",NA,NA,NA,NA,NA,"0","0","1",6,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",13,186038392,"c1f0fd34-bf13-41ea-aab7-7eed974621b5","2021-06-17T11:45:08",NA,"[]","submitted_via_web","pcbs_msna","[]","c1f0fd34-bf13-41ea-aab7-7eed974621b5","c1f0fd34-bf13-41ea-aab7-7eed974621b5",NA
"male","7",NA,NA,"a_lot_of_difficulty",NA,NA,NA,"1","0","1",7,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",17,186040097,"965d7e68-7b5e-448a-b46f-86a7cbde27d3","2021-06-17T11:51:36",NA,"[]","submitted_via_web","pcbs_msna","[]","965d7e68-7b5e-448a-b46f-86a7cbde27d3","965d7e68-7b5e-448a-b46f-86a7cbde27d3",NA
"male","52",NA,NA,"a_lot_of_difficulty",NA,NA,NA,"0","0","1",8,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",22,186043502,"741c420f-df7c-4d97-8b6f-8dcd24db9226","2021-06-17T12:03:20",NA,"[]","submitted_via_web","pcbs_msna","[]","741c420f-df7c-4d97-8b6f-8dcd24db9226","741c420f-df7c-4d97-8b6f-8dcd24db9226",NA
"male","7",NA,NA,NA,"some_difficulty",NA,NA,"0","0","0",9,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",46,186067769,"6c0ba17f-c05a-47ed-9b68-d13e419849c5","2021-06-17T13:19:11",NA,"[]","submitted_via_web","pcbs_msna","[]","6c0ba17f-c05a-47ed-9b68-d13e419849c5","6c0ba17f-c05a-47ed-9b68-d13e419849c5",NA
"male","25","a_lot_of_difficulty","a_lot_of_difficulty",NA,NA,NA,"a_lot_of_difficulty","0","0","1",10,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",48,186108806,"83772560-a70c-4475-8b1f-e2b3fe5799b6","2021-06-17T15:08:57",NA,"[]","submitted_via_web","pcbs_msna","[]","83772560-a70c-4475-8b1f-e2b3fe5799b6","83772560-a70c-4475-8b1f-e2b3fe5799b6",NA
"female","34","some_difficulty","a_lot_of_difficulty",NA,NA,NA,"a_lot_of_difficulty","0","1","0",11,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",48,186108806,"83772560-a70c-4475-8b1f-e2b3fe5799b6","2021-06-17T15:08:57",NA,"[]","submitted_via_web","pcbs_msna","[]","83772560-a70c-4475-8b1f-e2b3fe5799b6","83772560-a70c-4475-8b1f-e2b3fe5799b6",NA
"male","17","no_difficulty","no_difficulty",NA,NA,NA,"no_difficulty","0","0","0",12,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",48,186108806,"83772560-a70c-4475-8b1f-e2b3fe5799b6","2021-06-17T15:08:57",NA,"[]","submitted_via_web","pcbs_msna","[]","83772560-a70c-4475-8b1f-e2b3fe5799b6","83772560-a70c-4475-8b1f-e2b3fe5799b6",NA
"female","25","cannot_do_at_all","a_lot_of_difficulty",NA,NA,NA,NA,"1","1","1",13,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",60,185328838,"fa31555a-4207-4092-85d4-14e5595c023a","2021-06-15T09:18:33",NA,"[]","submitted_via_web","pcbs_msna","[]","fa31555a-4207-4092-85d4-14e5595c023a","fa31555a-4207-4092-85d4-14e5595c023a",NA
"male","5","cannot_do_at_all","cannot_do_at_all",NA,NA,NA,NA,"0","0","0",14,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",60,185328838,"fa31555a-4207-4092-85d4-14e5595c023a","2021-06-15T09:18:33",NA,"[]","submitted_via_web","pcbs_msna","[]","fa31555a-4207-4092-85d4-14e5595c023a","fa31555a-4207-4092-85d4-14e5595c023a",NA
"male","18","a_lot_of_difficulty",NA,NA,NA,NA,NA,"1","1","1",15,"FINAL_Pilot_V12_REACH_oPt_Kobo_MSNA_June 2021_13062021",63,185359410,"f5d2db5f-0c4e-4fa5-9878-540c33dce778","2021-06-15T10:42:58",NA,"[]","submitted_via_web","pcbs_msna","[]","f5d2db5f-0c4e-4fa5-9878-540c33dce778","f5d2db5f-0c4e-4fa5-9878-540c33dce778",NA
