log_number,X_uuid,date_assessment,enumerator_num,question.name,issue,action,changed,old.value,new.value,flag_index
1,a5fd966a-d4d0-4274-b9fc-f1561e16d695,2021-06-03,2,drinking_water_source,if HH reports drinking water comes from unimproved source but domestic water comes from improved,Flagged,NA,unprot_well,NA,9
2,52bc432f-50fb-49bc-b27a-9f7cd78f72da,2021-06-07,2,drinking_water_source,if HH reports drinking water comes from unimproved source but domestic water comes from improved,Flagged,NA,unprot_well,NA,9
3,e686554d-60a7-4b5c-9525-5a98a8573965,2021-06-03,2,shelter_type_inperson,"if reported shelter is tent, but HH reports having defects related to windows, floors, or foundation",Flagged,NA,tent,NA,13
4,dbf68594-d724-4a3b-a1d3-4341de670fce,2021-06-03,2,shelter_type_inperson,"if reported shelter is tent, but HH reports having defects related to windows, floors, or foundation",Flagged,NA,tent,NA,13
5,d4368769-e284-4714-b53d-e930947924d9,2021-06-03,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,rental_income,NA,17
6,a5fd966a-d4d0-4274-b9fc-f1561e16d695,2021-06-03,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,self_employment employment,NA,17
7,e686554d-60a7-4b5c-9525-5a98a8573965,2021-06-03,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,remittances employment,NA,17
8,55a22306-ec27-4413-927e-0f3eeff68758,2021-06-03,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment self_employment savings loans,NA,17
9,dbf68594-d724-4a3b-a1d3-4341de670fce,2021-06-03,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment cash_assistance,NA,17
10,3ce478af-b5d5-46dc-919d-f1eab2771c33,2021-06-07,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment self_employment,NA,17
11,656b67f4-3f37-4f20-8890-0d49617ca58c,2021-06-07,22,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment self_employment,NA,17
