"_uuid","hh_location_wb","gps.governorate","oslo_area","gps.oslo.area","enumerator_num","geometry","issue"
"2a92d009-7ac9-4b2f-b9d2-3dc04460d125","ramallah","ramallah","B","C","51691",c(35.0621114, 31.8655734),"Sample GPS location is not within the specified strata"
"0dad27bb-2f81-44d3-8ef8-e38303cc6a9d","ramallah","ramallah","C","A","4692",c(35.2111865, 31.9299884),"Sample GPS location is not within the specified strata"
"83772560-a70c-4475-8b1f-e2b3fe5799b6","ramallah","ramallah","B","C","4706",c(35.0383818, 31.9834256),"Sample GPS location is not within the specified strata"
"afc6af58-edfc-41a0-bb8f-63682fb764bd","ramallah","ramallah","B","C","4706",c(35.0193321, 31.9773928),"Sample GPS location is not within the specified strata"
"5bc66598-4ae3-49a2-a8a2-e5a010317274","ramallah","ramallah","B","C","4706",c(35.0192995, 31.9772292),"Sample GPS location is not within the specified strata"
"fa31555a-4207-4092-85d4-14e5595c023a","jericho","ramallah","C","A","4692",c(35.1928581, 31.8922849),"Sample GPS location is not within the specified strata"
"75c0e81e-d870-4b1b-b937-a15f56835f7e","ramallah","ramallah","C","A","1",c(35.1929425, 31.8922424),"Sample GPS location is not within the specified strata"
"04543bd3-2d76-4765-9c0b-f7306b08f683","ramallah","ramallah","C","A","2",c(35.1930201, 31.8923167),"Sample GPS location is not within the specified strata"
"b15f5d1f-4525-4ae8-b633-aa5fb3e289ae","ramallah","ramallah","C","A","4692",c(35.1929756, 31.8922168),"Sample GPS location is not within the specified strata"
"7a17a4f5-8dff-4968-b6d9-4b7c4644704c","jericho","ramallah","C","B","4692",c(35.2107767, 31.9308097),"Sample GPS location is not within the specified strata"
"66be315d-8036-413d-87b9-db929d978670","jericho","ramallah","C","A","4692",c(35.2096091, 31.930418),"Sample GPS location is not within the specified strata"
"d1f31fd3-46c4-4b91-8f7e-c50fecce7ce2","ramallah","ramallah","C","A","4692",c(35.2099895, 31.9301997),"Sample GPS location is not within the specified strata"
"ae1de63d-5db0-4929-8503-fc789d7da122","ramallah","ramallah","C","A","4692",c(35.2098245, 31.9267105),"Sample GPS location is not within the specified strata"
"76119b26-c45c-491d-8d59-fece93d74969","ramallah","ramallah","B","C","4706",c(35.0148641, 31.9747319),"Sample GPS location is not within the specified strata"
